id_protein	md5	seq_len	analysis	id_analysis	desc_analysis	start	stop	score	status	date	id_inter	desc_inter	id_go	type
NP_217500.1	61b6f0084e291d0f735a6102923ebefb	742	PANTHER	PTHR30218	POLYPHOSPHATE KINASE	36	739	0.0	T	08-02-2023	IPR003414	Polyphosphate kinase	GO:0008976	FAMILY
NP_217500.1	61b6f0084e291d0f735a6102923ebefb	742	PANTHER	PTHR30218	POLYPHOSPHATE KINASE	36	739	0.0	T	08-02-2023	IPR003414	Polyphosphate kinase	GO:0009358	FAMILY
NP_217500.1	61b6f0084e291d0f735a6102923ebefb	742	Pfam	PF17941	Polyphosphate kinase C-terminal domain 1	386	552	1.5e-73	T	08-02-2023	IPR041108	Polyphosphate kinase, C-terminal domain 1	NaN	DOMAIN
NP_217500.1	61b6f0084e291d0f735a6102923ebefb	742	FunFam	G3DSA:3.30.1840.10:FF:000002	Polyphosphate kinase	159	359	0.0	T	08-02-2023	NaN	NaN	NaN	NaN
NP_217500.1	61b6f0084e291d0f735a6102923ebefb	742	FunFam	G3DSA:1.20.58.310:FF:000002	Polyphosphate kinase	55	158	7.2e-66	T	08-02-2023	NaN	NaN	NaN	NaN
NP_217500.1	61b6f0084e291d0f735a6102923ebefb	742	Pfam	PF13089	Polyphosphate kinase N-terminal domain	53	159	1.3e-36	T	08-02-2023	IPR025198	Polyphosphate kinase N-terminal domain	NaN	DOMAIN
NP_217500.1	61b6f0084e291d0f735a6102923ebefb	742	SUPERFAMILY	SSF56024	Phospholipase D/nuclease	558	740	6.5e-58	T	08-02-2023	NaN	NaN	NaN	NaN
NP_217500.1	61b6f0084e291d0f735a6102923ebefb	742	SUPERFAMILY	SSF56024	Phospholipase D/nuclease	558	740	6.5e-58	T	08-02-2023	NaN	NaN	NaN	NaN
NP_217500.1	61b6f0084e291d0f735a6102923ebefb	742	FunFam	G3DSA:3.30.870.10:FF:000001	Polyphosphate kinase	374	557	3.5e-91	T	08-02-2023	NaN	NaN	NaN	NaN
NP_217500.1	61b6f0084e291d0f735a6102923ebefb	742	SUPERFAMILY	SSF140356	PPK N-terminal domain-like	50	154	6.9300000000000005e-37	T	08-02-2023	IPR036832	Polyphosphate kinase N-terminal domain superfamily	NaN	HOMOLOGOUS_SUPERFAMILY
NP_214646.1	1255b5c8180650b49c787719507072a5	360	FunFam	G3DSA:3.20.20.30:FF:000024	F420-dependent glucose-6-phosphate dehydrogenase	35	360	0.0	T	08-02-2023	NaN	NaN	NaN	NaN
NP_214646.1	1255b5c8180650b49c787719507072a5	360	PANTHER	PTHR43244	NaN	43	360	3.5000000000000003e-124	T	08-02-2023	NaN	NaN	NaN	NaN
NP_214646.1	1255b5c8180650b49c787719507072a5	360	CDD	cd01097	Tetrahydromethanopterin_reductase	45	232	1.50423e-19	T	08-02-2023	NaN	NaN	NaN	NaN
NP_214646.1	1255b5c8180650b49c787719507072a5	360	Pfam	PF00296	Luciferase-like monooxygenase	50	279	3.1e-54	T	08-02-2023	IPR011251	Luciferase-like domain	GO:0016705	DOMAIN
NP_214646.1	1255b5c8180650b49c787719507072a5	360	SUPERFAMILY	SSF51679	Bacterial luciferase-like	44	360	2.62e-62	T	08-02-2023	IPR036661	Luciferase-like domain superfamily	GO:0016705	HOMOLOGOUS_SUPERFAMILY
NP_215750.1	e6951a03b32c4b37220205a6216fec96	175	Pfam	PF11181	Heat induced stress protein YflT domain	37	103	6.2e-20	T	08-02-2023	IPR025889	General stress protein 17M-like domain	NaN	DOMAIN
NP_214556.1	645703ef2af5816673b8e56c44bc856c	208	FunFam	G3DSA:1.10.10.10:FF:000551	MarR family transcriptional regulator	45	188	6.599999999999999e-90	T	08-02-2023	NaN	NaN	NaN	NaN
NP_214556.1	645703ef2af5816673b8e56c44bc856c	208	PANTHER	PTHR39515	CONSERVED PROTEIN	49	191	4.8e-23	T	08-02-2023	NaN	NaN	NaN	NaN
NP_214556.1	645703ef2af5816673b8e56c44bc856c	208	SUPERFAMILY	SSF46785	Winged helix DNA-binding domain	51	190	9.870000000000001e-27	T	08-02-2023	IPR036390	Winged helix DNA-binding domain superfamily	NaN	HOMOLOGOUS_SUPERFAMILY
NP_214556.1	645703ef2af5816673b8e56c44bc856c	208	Pfam	PF01047	MarR family	83	141	2.2e-17	T	08-02-2023	IPR000835	MarR-type HTH domain	GO:0003700	DOMAIN
NP_214556.1	645703ef2af5816673b8e56c44bc856c	208	Pfam	PF01047	MarR family	83	141	2.2e-17	T	08-02-2023	IPR000835	MarR-type HTH domain	GO:0006355	DOMAIN
NP_215541.1	8f35c829f9ad368d3696ab0ebd2b83b1	155	Pfam	PF04417	Protein of unknown function (DUF501)	17	136	4.5e-33	T	08-02-2023	IPR007511	Protein of unknown function DUF501	NaN	FAMILY
NP_215541.1	8f35c829f9ad368d3696ab0ebd2b83b1	155	PANTHER	PTHR37163	CONSERVED PROTEIN	2	154	8.499999999999999e-39	T	08-02-2023	IPR007511	Protein of unknown function DUF501	NaN	FAMILY
NP_217356.3	b0772c44c4e8c90d484e2637a734becc	99	PANTHER	PTHR34215	BLL0784 PROTEIN	1	90	1.4e-21	T	08-02-2023	IPR037465	YlxR	NaN	FAMILY
NP_217356.3	b0772c44c4e8c90d484e2637a734becc	99	SUPERFAMILY	SSF64376	YlxR-like	1	84	9.55e-20	T	08-02-2023	IPR035931	YlxR-like superfamily	NaN	HOMOLOGOUS_SUPERFAMILY
NP_217356.3	b0772c44c4e8c90d484e2637a734becc	99	Pfam	PF04296	Protein of unknown function (DUF448)	2	82	3.7e-20	T	08-02-2023	IPR007393	YlxR domain	NaN	DOMAIN
NP_218435.2	feeb1d1e0d879924752d4b025ec81f18	344	FunFam	G3DSA:1.10.10.2830:FF:000001	Chromosome partitioning protein ParB	142	256	3.1e-41	T	08-02-2023	NaN	NaN	NaN	NaN
NP_218435.2	feeb1d1e0d879924752d4b025ec81f18	344	CDD	cd16393	SPO0J_N	60	160	2.77992e-46	T	08-02-2023	NaN	NaN	NaN	NaN
NP_218435.2	feeb1d1e0d879924752d4b025ec81f18	344	SUPERFAMILY	SSF110849	ParB/Sulfiredoxin	54	158	8.37e-30	T	08-02-2023	IPR036086	ParB/Sulfiredoxin superfamily	NaN	HOMOLOGOUS_SUPERFAMILY
NP_218435.2	feeb1d1e0d879924752d4b025ec81f18	344	FunFam	G3DSA:3.90.1530.30:FF:000001	Chromosome partitioning protein ParB	74	140	1.6000000000000001e-27	T	08-02-2023	NaN	NaN	NaN	NaN
NP_218435.2	feeb1d1e0d879924752d4b025ec81f18	344	SUPERFAMILY	SSF109709	KorB DNA-binding domain-like	147	256	1.16e-31	T	08-02-2023	NaN	NaN	NaN	NaN
NP_218435.2	feeb1d1e0d879924752d4b025ec81f18	344	Pfam	PF17762	HTH domain found in ParB protein	206	255	1.9e-15	T	08-02-2023	IPR041468	ParB/Spo0J, HTH domain	NaN	DOMAIN
NP_218435.2	feeb1d1e0d879924752d4b025ec81f18	344	Pfam	PF02195	ParB/Sulfiredoxin domain	62	155	1.8e-26	T	08-02-2023	IPR003115	ParB/Sulfiredoxin	NaN	DOMAIN
NP_218435.2	feeb1d1e0d879924752d4b025ec81f18	344	PANTHER	PTHR33375	CHROMOSOME-PARTITIONING PROTEIN PARB-RELATED	57	330	1.8e-79	T	08-02-2023	NaN	NaN	NaN	NaN
NP_217856.1	c0ba20cc0aff3154e4f841b71d252df1	409	SUPERFAMILY	SSF53659	Isocitrate/Isopropylmalate dehydrogenase-like	5	407	0.0	T	08-02-2023	NaN	NaN	NaN	NaN
NP_217856.1	c0ba20cc0aff3154e4f841b71d252df1	409	PANTHER	PTHR11822	NADP-SPECIFIC ISOCITRATE DEHYDROGENASE	6	408	0.0	T	08-02-2023	IPR004790	Isocitrate dehydrogenase NADP-dependent	GO:0004450	FAMILY
NP_217856.1	c0ba20cc0aff3154e4f841b71d252df1	409	PANTHER	PTHR11822	NADP-SPECIFIC ISOCITRATE DEHYDROGENASE	6	408	0.0	T	08-02-2023	IPR004790	Isocitrate dehydrogenase NADP-dependent	GO:0006102	FAMILY
NP_217856.1	c0ba20cc0aff3154e4f841b71d252df1	409	FunFam	G3DSA:3.40.718.10:FF:000018	Isocitrate dehydrogenase [NADP]	4	409	0.0	T	08-02-2023	NaN	NaN	NaN	NaN
NP_217856.1	c0ba20cc0aff3154e4f841b71d252df1	409	Pfam	PF00180	Isocitrate/isopropylmalate dehydrogenase	11	399	3.8999999999999996e-75	T	08-02-2023	IPR024084	Isopropylmalate dehydrogenase-like domain	NaN	DOMAIN
NP_215321.1	08ee86bcbe246a69e54cf898b681f97f	532	Pfam	PF17103	Stealth protein CR4, conserved region 4	465	518	3.7e-17	T	08-02-2023	IPR031356	Stealth protein CR4, conserved region 4	NaN	DOMAIN
NP_215321.1	08ee86bcbe246a69e54cf898b681f97f	532	Pfam	PF17102	Stealth protein CR3, conserved region 3	389	435	4.5e-18	T	08-02-2023	IPR031357	Stealth protein CR3, conserved region 3	NaN	DOMAIN
NP_215321.1	08ee86bcbe246a69e54cf898b681f97f	532	Pfam	PF17101	Stealth protein CR1, conserved region 1	201	221	1.7e-09	T	08-02-2023	IPR031358	Stealth protein CR1, conserved region 1	NaN	DOMAIN
NP_215321.1	08ee86bcbe246a69e54cf898b681f97f	532	Pfam	PF11380	Stealth protein CR2, conserved region 2	239	342	1.7e-39	T	08-02-2023	IPR021520	Stealth protein CR2, conserved region 2	GO:0016772	DOMAIN
NP_215321.1	08ee86bcbe246a69e54cf898b681f97f	532	PANTHER	PTHR24045	NaN	350	442	5.6e-94	T	08-02-2023	IPR047141	Stealth family	NaN	FAMILY
YP_177812.1	6a86286ec03f6ffd41d9802991a99267	1329	FunFam	G3DSA:1.10.287.850:FF:000001	PE_PGRS39	1	98	7.4e-39	T	08-02-2023	NaN	NaN	NaN	NaN
YP_177812.1	6a86286ec03f6ffd41d9802991a99267	1329	Pfam	PF00934	PE family	4	94	1.8e-33	T	08-02-2023	IPR000084	PE-PGRS family, N-terminal	NaN	DOMAIN
YP_177812.1	6a86286ec03f6ffd41d9802991a99267	1329	SUPERFAMILY	SSF140459	PE/PPE dimer-like	8	83	1.07e-24	T	08-02-2023	NaN	NaN	NaN	NaN
NP_217478.1	ae2d0937b7adc304db0f0a6a2accbc9e	449	PANTHER	PTHR21015	UDP-N-ACETYLGLUCOSAMINE--N-ACETYLMURAMYL-(PENTAPEPTIDE) PYROPHOSPHORYL-UNDECAPRENOL N-ACETYLGLUCOSAMINE TRANSFERASE 1	44	421	3.7e-20	T	08-02-2023	NaN	NaN	NaN	NaN
NP_217478.1	ae2d0937b7adc304db0f0a6a2accbc9e	449	Pfam	PF00201	UDP-glucoronosyl and UDP-glucosyl transferase	293	417	4.1e-08	T	08-02-2023	IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase	GO:0008194	FAMILY
NP_217478.1	ae2d0937b7adc304db0f0a6a2accbc9e	449	SUPERFAMILY	SSF53756	UDP-Glycosyltransferase/glycogen phosphorylase	44	423	2.08e-67	T	08-02-2023	NaN	NaN	NaN	NaN
NP_217478.1	ae2d0937b7adc304db0f0a6a2accbc9e	449	FunFam	G3DSA:3.40.50.2000:FF:000072	Glycosyl transferase	264	422	1.4999999999999998e-47	T	08-02-2023	NaN	NaN	NaN	NaN
NP_217478.1	ae2d0937b7adc304db0f0a6a2accbc9e	449	FunFam	G3DSA:3.40.50.2000:FF:000233	PGL/p-HBAD biosynthesis rhamnosyltransferase	39	262	0.0	T	08-02-2023	NaN	NaN	NaN	NaN
NP_217478.1	ae2d0937b7adc304db0f0a6a2accbc9e	449	CDD	cd03784	GT1_Gtf-like	44	428	1.97302e-26	T	08-02-2023	IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase	GO:0008194	FAMILY
NP_217770.1	1b5efed4da753f0078a028229f86309d	495	FunFam	G3DSA:1.20.1740.10:FF:000072	Cationic amino acid transport integral membraneprotein	24	492	0.0	T	08-02-2023	NaN	NaN	NaN	NaN
NP_217770.1	1b5efed4da753f0078a028229f86309d	495	PANTHER	PTHR43243	INNER MEMBRANE TRANSPORTER YGJI-RELATED	428	480	0.0	T	08-02-2023	NaN	NaN	NaN	NaN
NP_217770.1	1b5efed4da753f0078a028229f86309d	495	Pfam	PF13520	Amino acid permease	28	453	7.6e-55	T	08-02-2023	IPR002293	Amino acid/polyamine transporter I	GO:0016020	FAMILY
NP_217770.1	1b5efed4da753f0078a028229f86309d	495	Pfam	PF13520	Amino acid permease	28	453	7.6e-55	T	08-02-2023	IPR002293	Amino acid/polyamine transporter I	GO:0022857	FAMILY
NP_217770.1	1b5efed4da753f0078a028229f86309d	495	Pfam	PF13520	Amino acid permease	28	453	7.6e-55	T	08-02-2023	IPR002293	Amino acid/polyamine transporter I	GO:0055085	FAMILY
NP_218269.1	000c8482eca4527a1ef7d6150d99950b	152	Pfam	PF00383	Cytidine and deoxycytidylate deaminase zinc-binding region	1	102	3.2000000000000003e-23	T	08-02-2023	IPR002125	Cytidine and deoxycytidylate deaminase domain	NaN	DOMAIN
NP_218269.1	000c8482eca4527a1ef7d6150d99950b	152	PANTHER	PTHR11079	CYTOSINE DEAMINASE FAMILY MEMBER	3	150	1.1e-32	T	08-02-2023	NaN	NaN	NaN	NaN
NP_218269.1	000c8482eca4527a1ef7d6150d99950b	152	SUPERFAMILY	SSF53927	Cytidine deaminase-like	2	150	2.01e-44	T	08-02-2023	IPR016193	Cytidine deaminase-like	GO:0003824	HOMOLOGOUS_SUPERFAMILY
NP_218269.1	000c8482eca4527a1ef7d6150d99950b	152	CDD	cd01285	nucleoside_deaminase	33	116	8.86606e-32	T	08-02-2023	NaN	NaN	NaN	NaN
NP_218269.1	000c8482eca4527a1ef7d6150d99950b	152	FunFam	G3DSA:3.40.140.10:FF:000050	tRNA-specific adenosine deaminase	1	151	1.3e-73	T	08-02-2023	NaN	NaN	NaN	NaN
NP_216890.1	15efcaaeb05ee90dae83d3a8bab472b6	343	Pfam	PF01628	HrcA protein C terminal domain	105	326	1.2e-58	T	08-02-2023	IPR021153	Heat-inducible transcription repressor HrcA, C-terminal	GO:0003677	DOMAIN
NP_216890.1	15efcaaeb05ee90dae83d3a8bab472b6	343	Pfam	PF01628	HrcA protein C terminal domain	105	326	1.2e-58	T	08-02-2023	IPR021153	Heat-inducible transcription repressor HrcA, C-terminal	GO:0006355	DOMAIN
NP_216890.1	15efcaaeb05ee90dae83d3a8bab472b6	343	SUPERFAMILY	SSF46785	Winged helix DNA-binding domain	5	85	3.53e-22	T	08-02-2023	IPR036390	Winged helix DNA-binding domain superfamily	NaN	HOMOLOGOUS_SUPERFAMILY
NP_216890.1	15efcaaeb05ee90dae83d3a8bab472b6	343	SUPERFAMILY	SSF55781	GAF domain-like	73	341	2.5499999999999998e-53	T	08-02-2023	NaN	NaN	NaN	NaN
NP_216890.1	15efcaaeb05ee90dae83d3a8bab472b6	343	FunFam	G3DSA:3.30.390.60:FF:000003	Heat-inducible transcription repressor HrcA	129	232	5.1e-62	T	08-02-2023	NaN	NaN	NaN	NaN
NP_216890.1	15efcaaeb05ee90dae83d3a8bab472b6	343	FunFam	G3DSA:1.10.10.10:FF:000049	Heat-inducible transcription repressor HrcA	3	85	2.3e-41	T	08-02-2023	NaN	NaN	NaN	NaN
NP_216890.1	15efcaaeb05ee90dae83d3a8bab472b6	343	PANTHER	PTHR34824	HEAT-INDUCIBLE TRANSCRIPTION REPRESSOR HRCA	2	341	1.2e-101	T	08-02-2023	IPR002571	Heat-inducible transcription repressor HrcA	GO:0003677	FAMILY
NP_216890.1	15efcaaeb05ee90dae83d3a8bab472b6	343	PANTHER	PTHR34824	HEAT-INDUCIBLE TRANSCRIPTION REPRESSOR HRCA	2	341	1.2e-101	T	08-02-2023	IPR002571	Heat-inducible transcription repressor HrcA	GO:0006355	FAMILY
NP_215134.1	3c36c89daf5814882678701c61e8972a	363	SUPERFAMILY	SSF55060	GHMP Kinase, C-terminal domain	187	360	1.0400000000000001e-43	T	08-02-2023	IPR036554	GHMP kinase, C-terminal domain superfamily	NaN	HOMOLOGOUS_SUPERFAMILY
NP_215134.1	3c36c89daf5814882678701c61e8972a	363	FunFam	G3DSA:3.30.70.890:FF:000001	Galactokinase	187	351	1.8e-51	T	08-02-2023	NaN	NaN	NaN	NaN
NP_215134.1	3c36c89daf5814882678701c61e8972a	363	PANTHER	PTHR10457	MEVALONATE KINASE/GALACTOKINASE	7	359	1.0000000000000001e-67	T	08-02-2023	NaN	NaN	NaN	NaN
NP_215134.1	3c36c89daf5814882678701c61e8972a	363	Pfam	PF08544	GHMP kinases C terminal	262	339	3.3e-13	T	08-02-2023	IPR013750	GHMP kinase, C-terminal domain	NaN	DOMAIN
NP_215134.1	3c36c89daf5814882678701c61e8972a	363	Pfam	PF10509	Galactokinase galactose-binding signature	5	38	1.7e-15	T	08-02-2023	IPR019539	Galactokinase, N-terminal  domain	NaN	DOMAIN
NP_215134.1	3c36c89daf5814882678701c61e8972a	363	Pfam	PF00288	GHMP kinases N terminal domain	95	160	8.4e-11	T	08-02-2023	IPR006204	GHMP kinase N-terminal domain	GO:0005524	DOMAIN
NP_215134.1	3c36c89daf5814882678701c61e8972a	363	SUPERFAMILY	SSF54211	Ribosomal protein S5 domain 2-like	3	182	3.87e-45	T	08-02-2023	IPR020568	Ribosomal protein S5 domain 2-type fold	NaN	HOMOLOGOUS_SUPERFAMILY
NP_215579.1	761de2501de13de375dd33a11c21bad0	360	CDD	cd07228	Pat_NTE_like_bacteria	17	191	5.94161e-88	T	08-02-2023	NaN	NaN	NaN	NaN
NP_215579.1	761de2501de13de375dd33a11c21bad0	360	SUPERFAMILY	SSF52151	FabD/lysophospholipase-like	14	337	1.54e-45	T	08-02-2023	IPR016035	Acyl transferase/acyl hydrolase/lysophospholipase	NaN	HOMOLOGOUS_SUPERFAMILY
NP_215579.1	761de2501de13de375dd33a11c21bad0	360	PANTHER	PTHR14226	NEUROPATHY TARGET ESTERASE/SWISS CHEESE D.MELANOGASTER	15	345	7.7e-29	T	08-02-2023	NaN	NaN	NaN	NaN
NP_215579.1	761de2501de13de375dd33a11c21bad0	360	Pfam	PF01734	Patatin-like phospholipase	19	175	9.9e-15	T	08-02-2023	IPR002641	Patatin-like phospholipase domain	GO:0006629	DOMAIN
NP_217054.1	0f6ad45726f188164ebeef06a9d76b94	362	FunFam	G3DSA:1.20.1090.10:FF:000006	3-dehydroquinate synthase	175	361	2.7999999999999996e-105	T	08-02-2023	NaN	NaN	NaN	NaN
NP_217054.1	0f6ad45726f188164ebeef06a9d76b94	362	CDD	cd08195	DHQS	17	356	0.0	T	08-02-2023	NaN	NaN	NaN	NaN
NP_217054.1	0f6ad45726f188164ebeef06a9d76b94	362	Pfam	PF01761	3-dehydroquinate synthase	69	325	9.9e-93	T	08-02-2023	IPR030960	3-dehydroquinate synthase domain	NaN	DOMAIN
NP_217054.1	0f6ad45726f188164ebeef06a9d76b94	362	FunFam	G3DSA:3.40.50.1970:FF:000012	3-dehydroquinate synthase	3	174	2.5e-83	T	08-02-2023	NaN	NaN	NaN	NaN
NP_217054.1	0f6ad45726f188164ebeef06a9d76b94	362	SUPERFAMILY	SSF56796	Dehydroquinate synthase-like	14	356	1.23e-100	T	08-02-2023	NaN	NaN	NaN	NaN
NP_217054.1	0f6ad45726f188164ebeef06a9d76b94	362	PANTHER	PTHR43622	3-DEHYDROQUINATE SYNTHASE	10	340	8.4e-97	T	08-02-2023	NaN	NaN	NaN	NaN
NP_217705.1	947ce7cc0afed79064eea1686d0257d0	206	Pfam	PF08808	RES domain	18	158	1.3e-15	T	08-02-2023	IPR014914	RES domain	NaN	DOMAIN
NP_214831.1	9a93da600934d0c1dcf4b98baa0d8ee3	256	CDD	cd08561	GDPD_cytoplasmic_ScUgpQ2_like	11	247	3.86629e-86	T	08-02-2023	NaN	NaN	NaN	NaN
NP_214831.1	9a93da600934d0c1dcf4b98baa0d8ee3	256	Pfam	PF03009	Glycerophosphoryl diester phosphodiesterase family	14	241	5.9e-40	T	08-02-2023	IPR030395	Glycerophosphodiester phosphodiesterase domain	GO:0006629	DOMAIN
NP_214831.1	9a93da600934d0c1dcf4b98baa0d8ee3	256	Pfam	PF03009	Glycerophosphoryl diester phosphodiesterase family	14	241	5.9e-40	T	08-02-2023	IPR030395	Glycerophosphodiester phosphodiesterase domain	GO:0008081	DOMAIN
NP_214831.1	9a93da600934d0c1dcf4b98baa0d8ee3	256	PANTHER	PTHR43805	GLYCEROPHOSPHORYL DIESTER PHOSPHODIESTERASE	4	253	8.2e-65	T	08-02-2023	NaN	NaN	NaN	NaN
NP_214831.1	9a93da600934d0c1dcf4b98baa0d8ee3	256	SUPERFAMILY	SSF51695	PLC-like phosphodiesterases	12	247	4.45e-52	T	08-02-2023	IPR017946	PLC-like phosphodiesterase, TIM beta/alpha-barrel domain superfamily	GO:0006629	HOMOLOGOUS_SUPERFAMILY
NP_214831.1	9a93da600934d0c1dcf4b98baa0d8ee3	256	SUPERFAMILY	SSF51695	PLC-like phosphodiesterases	12	247	4.45e-52	T	08-02-2023	IPR017946	PLC-like phosphodiesterase, TIM beta/alpha-barrel domain superfamily	GO:0008081	HOMOLOGOUS_SUPERFAMILY
NP_217022.1	a2f6386037598bff7ebd47be6cd449cc	215	SUPERFAMILY	SSF46689	Homeodomain-like	18	96	1.65e-18	T	08-02-2023	IPR009057	Homeobox-like domain superfamily	NaN	HOMOLOGOUS_SUPERFAMILY
NP_217022.1	a2f6386037598bff7ebd47be6cd449cc	215	Pfam	PF17932	Tetracyclin repressor-like, C-terminal domain	99	180	2.9e-08	T	08-02-2023	IPR041490	HTH-type transcriptional repressor KstR2, C-terminal	NaN	DOMAIN
NP_217022.1	a2f6386037598bff7ebd47be6cd449cc	215	PANTHER	PTHR30055	HTH-TYPE TRANSCRIPTIONAL REGULATOR RUTR	9	199	2.5e-19	T	08-02-2023	NaN	NaN	NaN	NaN
NP_217022.1	a2f6386037598bff7ebd47be6cd449cc	215	FunFam	G3DSA:1.10.10.60:FF:000141	TetR family transcriptional regulator	23	74	1.4e-18	T	08-02-2023	NaN	NaN	NaN	NaN
NP_217022.1	a2f6386037598bff7ebd47be6cd449cc	215	Pfam	PF00440	Bacterial regulatory proteins, tetR family	30	76	2.5e-18	T	08-02-2023	IPR001647	DNA-binding HTH domain, TetR-type	GO:0003677	DOMAIN
NP_217022.1	a2f6386037598bff7ebd47be6cd449cc	215	FunFam	G3DSA:1.10.357.10:FF:000033	TetR family transcriptional regulator	67	215	5.8e-98	T	08-02-2023	NaN	NaN	NaN	NaN
NP_217022.1	a2f6386037598bff7ebd47be6cd449cc	215	SUPERFAMILY	SSF48498	Tetracyclin repressor-like, C-terminal domain	100	193	3.22e-07	T	08-02-2023	IPR036271	Tetracyclin repressor-like, C-terminal domain superfamily	NaN	HOMOLOGOUS_SUPERFAMILY
NP_216904.1	cb482082000561a69134190c9bf6f115	375	PANTHER	PTHR13932	COPROPORPHYRINIGEN III OXIDASE	5	374	2.8e-95	T	08-02-2023	IPR034505	Anaerobic coproporphyrinogen-III oxidase	NaN	FAMILY
NP_216904.1	cb482082000561a69134190c9bf6f115	375	Pfam	PF04055	Radical SAM superfamily	11	182	1.8e-15	T	08-02-2023	IPR007197	Radical SAM	GO:0003824	DOMAIN
NP_216904.1	cb482082000561a69134190c9bf6f115	375	Pfam	PF04055	Radical SAM superfamily	11	182	1.8e-15	T	08-02-2023	IPR007197	Radical SAM	GO:0051536	DOMAIN
NP_216904.1	cb482082000561a69134190c9bf6f115	375	SUPERFAMILY	SSF102114	Radical SAM enzymes	3	374	5.89e-107	T	08-02-2023	NaN	NaN	NaN	NaN
NP_214627.1	603875a1c7f95b134dc560cf9ef46f2f	196	Pfam	PF13580	SIS domain	32	148	1.0999999999999999e-25	T	08-02-2023	IPR001347	SIS domain	GO:0097367	DOMAIN
NP_214627.1	603875a1c7f95b134dc560cf9ef46f2f	196	Pfam	PF13580	SIS domain	32	148	1.0999999999999999e-25	T	08-02-2023	IPR001347	SIS domain	GO:1901135	DOMAIN
NP_214627.1	603875a1c7f95b134dc560cf9ef46f2f	196	CDD	cd05006	SIS_GmhA	11	189	1.19584e-79	T	08-02-2023	IPR035461	GmhA/DiaA	NaN	FAMILY
NP_214627.1	603875a1c7f95b134dc560cf9ef46f2f	196	PANTHER	PTHR30390	SEDOHEPTULOSE 7-PHOSPHATE ISOMERASE / DNAA INITIATOR-ASSOCIATING FACTOR FOR REPLICATION INITIATION	6	193	1.6e-61	T	08-02-2023	NaN	NaN	NaN	NaN
NP_214627.1	603875a1c7f95b134dc560cf9ef46f2f	196	SUPERFAMILY	SSF53697	SIS domain	8	192	1.43e-49	T	08-02-2023	IPR046348	SIS domain superfamily	GO:0097367	HOMOLOGOUS_SUPERFAMILY
NP_214627.1	603875a1c7f95b134dc560cf9ef46f2f	196	SUPERFAMILY	SSF53697	SIS domain	8	192	1.43e-49	T	08-02-2023	IPR046348	SIS domain superfamily	GO:1901135	HOMOLOGOUS_SUPERFAMILY
NP_216552.1	a3cf3fa1710178eac71421e4bf03a3fc	213	Pfam	PF11716	Mycothiol maleylpyruvate isomerase N-terminal domain	17	56	9.1e-10	T	08-02-2023	IPR024344	Mycothiol-dependent maleylpyruvate isomerase, metal-binding domain	GO:0046872	DOMAIN
NP_216552.1	a3cf3fa1710178eac71421e4bf03a3fc	213	SUPERFAMILY	SSF109854	DinB/YfiT-like putative metalloenzymes	11	132	7.69e-19	T	08-02-2023	IPR034660	DinB/YfiT-like putative metalloenzymes	NaN	HOMOLOGOUS_SUPERFAMILY
NP_214853.1	47f7170c711ce4e8f3474c079897efb7	832	PANTHER	PTHR44688	NaN	49	819	2.5e-27	T	08-02-2023	NaN	NaN	NaN	NaN
NP_214853.1	47f7170c711ce4e8f3474c079897efb7	832	CDD	cd06170	LuxR_C_like	763	818	1.90442e-14	T	08-02-2023	IPR000792	Transcription regulator LuxR, C-terminal	GO:0006355	DOMAIN
NP_214853.1	47f7170c711ce4e8f3474c079897efb7	832	Pfam	PF00196	Bacterial regulatory proteins, luxR family	762	816	1.1e-13	T	08-02-2023	IPR000792	Transcription regulator LuxR, C-terminal	GO:0006355	DOMAIN
NP_214853.1	47f7170c711ce4e8f3474c079897efb7	832	SUPERFAMILY	SSF46894	C-terminal effector domain of the bipartite response regulators	752	817	4.42e-16	T	08-02-2023	IPR016032	Signal transduction response regulator, C-terminal effector	GO:0003677	HOMOLOGOUS_SUPERFAMILY
NP_214853.1	47f7170c711ce4e8f3474c079897efb7	832	SUPERFAMILY	SSF46894	C-terminal effector domain of the bipartite response regulators	752	817	4.42e-16	T	08-02-2023	IPR016032	Signal transduction response regulator, C-terminal effector	GO:0006355	HOMOLOGOUS_SUPERFAMILY
NP_214853.1	47f7170c711ce4e8f3474c079897efb7	832	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	30	121	9.5e-06	T	08-02-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase	NaN	HOMOLOGOUS_SUPERFAMILY
NP_214875.1	1d9c84dccb6e9d98591d455493b52bd2	275	SUPERFAMILY	SSF54427	NTF2-like	164	270	8.26e-05	T	08-02-2023	IPR032710	NTF2-like domain superfamily	NaN	HOMOLOGOUS_SUPERFAMILY
NP_215273.3	53dc4fb913347cb8db516869529b734a	110	Pfam	PF01230	HIT domain	2	77	5.9e-18	T	08-02-2023	IPR011146	HIT-like domain	GO:0003824	DOMAIN
NP_215273.3	53dc4fb913347cb8db516869529b734a	110	PANTHER	PTHR46648	HIT FAMILY PROTEIN 1	1	107	2.5e-15	T	08-02-2023	IPR001310	Histidine triad (HIT) protein	NaN	FAMILY
